1,07:46,15:57,07:21,16:42,06:29,17:31,06:22,19:21,05:23,20:07,04:43,20:49,04:44,21:00,05:19,20:30,06:04,19:31,06:49,18:25,06:39,16:24,07:25,15:49
2,07:46,15:58,07:20,16:44,06:27,17:33,06:20,19:22,05:21,20:09,04:43,20:50,04:45,21:00,05:20,20:28,06:06,19:29,06:51,18:23,06:41,16:22,07:27,15:49
3,07:46,15:59,07:18,16:45,06:25,17:34,06:18,19:24,05:19,20:10,04:42,20:50,04:45,20:59,05:22,20:26,06:07,19:27,06:52,18:21,06:42,16:21,07:28,15:48
4,07:46,16:00,07:17,16:47,06:23,17:36,06:16,19:25,05:17,20:12,04:41,20:51,04:46,20:59,05:23,20:25,06:09,19:24,06:54,18:19,06:44,16:19,07:29,15:48
5,07:45,16:01,07:15,16:49,06:21,17:38,06:14,19:27,05:16,20:13,04:41,20:52,04:47,20:58,05:25,20:23,06:10,19:22,06:55,18:17,06:46,16:17,07:30,15:47
6,07:45,16:02,07:13,16:50,06:19,17:39,06:12,19:28,05:14,20:15,04:40,20:53,04:48,20:58,05:26,20:21,06:12,19:20,06:57,18:15,06:47,16:16,07:32,15:47
7,07:45,16:04,07:12,16:52,06:16,17:41,06:10,19:30,05:12,20:16,04:40,20:54,04:49,20:57,05:27,20:20,06:13,19:18,06:58,18:12,06:49,16:14,07:33,15:47
8,07:44,16:05,07:10,16:54,06:14,17:43,06:07,19:32,05:11,20:18,04:40,20:55,04:50,20:57,05:29,20:18,06:15,19:16,07:00,18:10,06:51,16:13,07:34,15:47
9,07:44,16:06,07:09,16:56,06:12,17:44,06:05,19:33,05:09,20:19,04:39,20:55,04:51,20:56,05:30,20:16,06:16,19:14,07:02,18:08,06:52,16:11,07:35,15:46
10,07:43,16:07,07:07,16:57,06:10,17:46,06:03,19:35,05:08,20:21,04:39,20:56,04:51,20:55,05:32,20:14,06:18,19:11,07:03,18:06,06:54,16:10,07:36,15:46
11,07:43,16:09,07:05,16:59,06:08,17:47,06:01,19:36,05:06,20:22,04:39,20:57,04:53,20:55,05:33,20:13,06:19,19:09,07:05,18:04,06:55,16:09,07:37,15:46
